Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-16,123.52999877929688,19772.583984375,1671.699951171875,101.95732879638672,237.8106689453125,123.87000274658203,19870.62890625,1674.9000244140625,102.28461796293107,238.354811263805,120.69999694824219,19400.076171875,1651.699951171875,100.11257502049808,235.2065402152561,122.77999877929688,19704.005859375,1660.4000244140625,101.23330943767259,237.34424853509077,115667800.0,30123362273.0,464.0,42797200.0,39791800.0
2022-09-17,,20127.576171875,,,,,20162.53125,,,,,19777.033203125,,,,,19777.033203125,,,,,24957448100.0,,,
2022-09-18,,19419.505859375,,,,,20127.234375,,,,,19387.4921875,,,,,20127.234375,,,,,31254779144.0,,,
2022-09-19,124.66000366210938,19544.12890625,1666.199951171875,102.22510528564453,237.5968780517578,124.70999908447266,19639.48046875,1669.4000244140625,102.48297610964131,238.19931916772862,121.80000305175781,18390.318359375,1658.5,100.71756849189899,234.03078901134762,122.16000366210938,19418.572265625,1661.800048828125,100.91592600767855,235.60491699915002,47279700.0,40177002624.0,580.0,23036800.0,26826900.0
2022-09-20,122.19000244140625,18890.7890625,1659.699951171875,100.31092834472656,235.5854949951172,124.4000015258789,19602.45703125,1659.699951171875,101.53084904223219,236.61548077642544,121.13999938964844,18813.455078125,1659.699951171875,99.6960079229227,232.85505707344666,123.3499984741211,19545.591796875,1659.699951171875,101.24322534010722,235.21626404112513,47698400.0,36791346508.0,2830.0,26517100.0,26660300.0
2022-09-21,118.54000091552734,18547.400390625,1664.5999755859375,98.46617889404297,232.18458557128906,123.76000213623047,19674.630859375,1680.0999755859375,102.03666739252802,240.64798513191113,118.44999694824219,18290.314453125,1664.5999755859375,98.45625874751293,232.13599826014462,122.48999786376953,18891.283203125,1665.5,100.83658693545453,237.35396708033133,58498900.0,46363793975.0,2337.0,31487300.0,28625600.0
2022-09-22,117.30999755859375,19413.55078125,1670.800048828125,99.31912994384766,234.15708923339844,118.79000091552734,19456.91015625,1670.800048828125,100.4101114902342,236.9555520614077,116.26000213623047,18415.591796875,1668.300048828125,97.98019770206167,230.8436483959942,117.08000183105469,18534.650390625,1668.300048828125,98.00995057481285,231.13514258494146,55229200.0,41135767926.0,973.0,34298600.0,31061200.0
2022-09-23,113.77999877929688,19297.638671875,1645.300048828125,97.93060302734375,231.18374633789062,116.05000305175781,19464.671875,1667.0,98.84306732316416,234.30286782239332,112.05999755859375,18617.552734375,1645.300048828125,96.67101684353818,228.54075677381346,116.0,19412.400390625,1667.0,98.81330688401681,232.75787437724338,65126700.0,38896078052.0,1224.0,31625400.0,34176000.0
2022-09-24,,18937.01171875,,,,,19310.197265625,,,,,18861.974609375,,,,,19296.990234375,,,,,26149643168.0,,,
2022-09-25,,18802.09765625,,,,,19134.732421875,,,,,18696.46875,,,,,18936.310546875,,,,,23359966112.0,,,
2022-09-26,115.1500015258789,19222.671875,1623.300048828125,97.36527252197266,230.72706604003906,117.33999633789062,19274.873046875,1623.300048828125,99.06125428806656,234.6138138859922,113.12999725341797,18721.28515625,1623.300048828125,96.99831035340091,230.19263524586722,113.30000305175781,18803.900390625,1623.300048828125,97.29584663330873,230.3383971861503,62723300.0,44148798321.0,1205.0,27072700.0,27694200.0
